PARTNUMBER,SYMBOL,FOOTPRINT,MANUFACTURER,MANUFACTURER_PART_NUMBER,DESCRIPTION,CREATED_ON,ComponentLink1URL,ComponentLink1Description,ComponentLink2URL,ComponentLink2Description,ComponentLink3URL,ComponentLink3Description,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Supplier 3,Supplier Part Number 3
"CN00010","OMEGA_PCC-SMP-V-K","J_OMEGA_PCC-SMP-V-K","Omega","PCC-SMP-V-K","CONN SOCKET THERMOCOUPLE TYPE-K","08/19/11 00:00:00","http://www.omega.com/Temperature/pdf/PCC-OST-SMP.pdf","Datasheet",,,,,"Omega","PCC-SMP-V-K-5",,,,
"CN00021","OMRON_XF2M-3515-1A","J_OMRON_XF2M-3515-1A","Omron","XF2M-3515-1A","CONN FPC 35POS 0.5MM PITCH SMD","02/11/14 00:00:00","http://www.components.omron.com/components/web/pdflib.nsf/0/2A99C0B5EB83911C85257201007DD69B/$file/XF2M_0713.pdf","Datasheet",,,,,"Digi-Key","OR727CT-ND",,,,
"CN00027","CUI_PJ-047A","J_CUI_PJ-047A","CUI","PJ-047A","CON PWR JCK 2.0 X 6.0MM W/SHLD","07/08/15 00:00:00","http://www.cui.com/product/resource/digikeypdf/pj-047a.pdf","Datasheet",,,,,"Digi-Key","CP-047A-ND",,,,
"CN00028","FCI_68000-206HLF","P_FCI_68000-206","FCI","68000-206HLF","BERGSTIK II 6POS .100"" SR STRAIGHT","07/15/15 00:00:00","http://portal.fciconnect.com/Comergent//fci/drawing/68000.pdf","Drawing",,,,,"Digi-Key","609-3256-ND",,,,
"CN00035","CUI_RCJ-04X","J_CUI_RCJ-04X","CUI","RCJ-047","CONN RCA JACK MONO 3.2MM R/A ORANGE","08/08/17 00:00:00","http://www.cui.com/product/resource/rcj-04x.pdf","Drawing",,,,,"Digi-Key","CP-1469-ND",,,,
"CN00036","CUI_RCJ-04X","J_CUI_RCJ-04X","CUI","RCJ-041","CONN RCA JACK MONO 3.2MM R/A BLACK","08/08/17 00:00:00","http://www.cui.com/product/resource/rcj-04x.pdf","Drawing",,,,,"Digi-Key","CP-1418-ND",,,,
"CN00007","TE_640456-2","P_TE_640456-2","TE","640456-2","CONN HEADER VERT 2POS .100 TIN","08/19/11 00:00:00","http://documents.tycoelectronics.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=CD&DocLang=EN","Drawing",,,,,"Digi-Key","A1921-ND",,,,
"CN00040","P_2","P_FCI_68000-202","FCI","68000-204HLF","BERGSTIK II .100"" SR STRAIGHT","08/21/17 00:00:00","http://portal.fciconnect.com/res/en/pdffiles/doc_search/68000.pdf","Drawing",,,,,"Digi-Key","609-3502-ND",,,,
"CN00042","SAMTEC_LSS-120-01-F-DV-A","J_SAMTEC_LSS-120-01-F-DV-A","Samtec","LSS-120-01-F-DV-A","CONN HERMAPHRODITIC 40POS 0.635MM SMD","08/27/17 00:00:00","http://suddendocs.samtec.com/prints/lss-1xx-xx-xx-dv-xx-xx-mkt.pdf","Drawing","http://suddendocs.samtec.com/catalog_english/lss.pdf","Datasheet",,,"Digi-Key","SAM9675-ND",,,,
"CN00045","P_2","P_TE_3-794630-2","TE","3-794630-2","CONN HEADER 2POS DUAL TIN","09/07/17 00:00:00","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=794630&DocType=Customer+Drawing&DocLang=English","Drawing",,,,,"Digi-Key","	A33219-ND",,,,
"CN00047","EXP_CARD_CARRIER","P_AMPHENOL_10132797-067100LF","Amphenol","10132797-067100LF","60POSITIONING, 5.3MM HEIGHT PLUG","09/09/17 00:00:00","http://portal.fciconnect.com/Comergent//fci/drawing/10132797.pdf","Drawing",,,,,"Digi-Key","609-5229-1-ND",,,,
"CN00008","3M_956214-2000-AR","J_3M_956214-2000-AR","3M","956214-2000-AR","CONN SOCKET 14POS 2MM VERT SMD","08/19/11 00:00:00","http://multimedia.3m.com/mws/mediawebserver?66666UuZjcFSLXTtmXMEm8TXEVuQEcuZgVs6EVs6E666666--","Drawing",,,,,"Digi-Key","3M9294CT-ND",,,,
"CN00052","P_6","P_FCI_68000-206","FCI","68000-206HLF","BERGSTIK II 6POS .100"" SR STRAIGHT","07/31/18 00:00:00","http://portal.fciconnect.com/Comergent//fci/drawing/68000.pdf","Drawing",,,,,"Digi-Key","609-3256-ND",,,,
"CN00005","MOLEX_502426-6410","J_MOLEX_502426-6410-C","Molex","502426-6410-C","CONN RCPT 64POS VERT DUAL SMD","07/26/11 00:00:00","http://www.molex.com/pdm_docs/sd/5024266410_sd.pdf","Drawing",,,,,"Digi-Key","WM24076-ND",,,,
"CN00004","PCIE_MINI_CARDEDGE","PCIE_MINI_EDGE","-","-","CONN EDGE 26x2  POS 0.8 MM","07/14/11 00:00:00",,,,,,,,,,,,
"CN00003","FCI_98424-G52-14ALF","P_FCI_98424-52-14","FCI","98424-G52-14ALF","CONN HEADER 14POS 2MM STR DL SMD","02/21/11 00:00:00","http://portal.fciconnect.com/res/en/pdffiles/doc_search/98424.pdf","Drawing",,,,,"Digi-key","609-2643-1-ND",,,,
"CN00002","TYCO_87832-1420","P_TYCO_87832-1420","TYCO","878320-1420","CONN HEADER 14POS 2MM VERT SMD","02/21/11 00:00:00","http://www.molex.com/pdm_docs/sd/878322620_sd.pdf","Drawing",,,,,"Digi-key","WM18641-ND",,,,
"CN00001","HIROSE_DF12(3.0)-80DP-05V","J_HIROSE_DF12(3.0)-80DP-05V","Hirose","DF12(3.0)-80DP-0.5V(86","CONN HEADER 80POS 3MM SMD 0.5MM","02/20/11 00:00:00","http://www.hirose.co.jp/cataloge_hp/e53700036.pdf","Datasheet",,,,,"Digi-key","H5225CT-ND","Digi-key","H5225TR-ND",,
"CN00006","FCI_10067847-001","J_FCI_10067847-001RLF","FCI","10067847-001RLF","SD SMART CARD CONNECTOR SMD","08/15/11 00:00:00","http://portal.fciconnect.com/res/en/pdffiles/doc_search/10067847.pdf","Drawing",,,,,"Digi-Key","609-3956-1-ND",,,,
"CN00009","FCI_61729-1011BLF","J_USB_B_PTH","FCI","61729-1011BLF","USB RCPT B-TYPE R/A FULL BACK","08/19/11 00:00:00","http://portal.fciconnect.com/res/en/pdffiles/doc_search/61729.pdf","Drawing",,,,,"Digi-Key","609-3657-ND",,,,
"CN00011","FCI_67996-X06","P_FCI_67996-406HLF","FCI","67996-406HLF","CONN HEADER 6POS .100 STR TIN","08/21/11 00:00:00","http://portal.fciconnect.com/res/en/pdffiles/doc_search/67996.pdf","Drawing",,,,,"Digi-Key","609-3218-ND",,,,
"CN00018","SULLINS_SFH31-NPPB-D17-SP","J_SULLINS_SFH31-NPPB-D17-SP","Sullins","SFH31-NPPB-D17-SP-BK","CONN HDR FMAL 34PS 1.27MM SMD AU","11/09/12 00:00:00","http://www.sullinscorp.com/drawings/152_SFH31-NP_B-D___-SP-___,_11165-C.pdf","Drawing",,,,,"Digi-Key","S9117-ND",,,,
"CN00017","SAMTEC_FTSH-105-01-F-DV-K","P_SAMTEC_FTSH-105-01-F-DV-K","Samtec","FTSH-105-01-F-DV-K","CONN HEADER 10POS DUAL .05"" SMD","07/30/12 00:00:00","http://www.samtec.com/documents/webfiles/cpdf/FTSH-1XX-XX-XXX-DV-XXX-MKT.pdf","Drawing","http://www.samtec.com/documents/webfiles/cpdf/FTSH-1XX-XX-XXX-DV-XXX-FOOTPRINT.pdf","Footprint",,,"Digi-Key","FTSH-105-01-F-DV-K-ND","Newark","02M8557",,
"CN00020","OMRON_XF2M-3015-1A","J_OMRON_XF2M-3015-1A","Omron","XF2M-3015-1A","CONN FPC 30POS 0.5MM PITCH SMD","02/11/14 00:00:00","http://www.components.omron.com/components/web/pdflib.nsf/0/2A99C0B5EB83911C85257201007DD69B/$file/XF2M_0713.pdf","Datasheet",,,,,"Digi-Key","OR723CT-ND",,,,
"CN00012","FCI_68000-203HLF","P_FCI_68000-203","FCI","68000-203HLF","BERGSTIK II .100"" SR STRAIGHT","08/21/11 00:00:00","http://portal.fciconnect.com/res/en/pdffiles/doc_search/68000.pdf","Drawing",,,,,"Digi-Key","609-3464-ND",,,,
