PARTNUMBER,SYMBOL,FOOTPRINT,MANUFACTURER,MANUFACTURER_PART_NUMBER,DESCRIPTION,CREATED_ON,ComponentLink1URL,ComponentLink1Description,ComponentLink2URL,ComponentLink2Description,ComponentLink3URL,ComponentLink3Description,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Supplier 3,Supplier Part Number 3
"U00002","XC3S50A-4VQG100C","QFP_100_500_16000X16000X1200_XLNX","Xilinx","XC3S50A-4VQG100C","IC FPGA SPARTAN-3A 50K 100-VQFP","02/20/11 00:00:00","http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","Datasheet","http://www.xilinx.com/support/documentation/spartan-3a.htm","Documentation Index",,,"Digi-key","	122-1592-ND",,,,
"U00008","SN74CBTLV3257","QFN_16_500_4000X3500X1000_TI","TI","SN74CBTLV3257RGYR","IC QUAD 2:1 MUX","07/25/11 00:00:00","http://focus.ti.com/lit/ds/symlink/sn74cbtlv3257.pdf","Datasheet",,,,,"Digi-Key","296-15107-1-ND",,,,
"U00011","FT2232HQ","QFN_64_500_9000x9000x1000_FTDI","FTDI","FT2232HQ","IC USB HS DUAL UART/FIFO 64-QFN","07/26/11 00:00:00","http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT2232H.pdf","Datasheet",,,,,"Digi-Key","768-1025-1-ND",,,,
"U00013","W25Q64BVZE","DFN_8_1270_8000X6000X800_WINBOND","Winbond","W25Q64BVZEIG","IC SPI FLASH 64MBIT 8WSON","07/26/11 00:00:00","http://www.winbond.com/NR/rdonlyres/591A37FF-007C-4E99-956C-F7EE4A6D9A8F/0/W25Q64BV.pdf\?","Datasheet",,,,,"Digi-Key","W25Q64BVZEIG-ND",,,,
"U00017","ATmega32u2","QFP_32_800_7000X7000X1200_ATMEL","Atmel","ATMEGA32U2-AU","IC MCU 8BIT 32KB FLASH 32TQFP","08/10/11 00:00:00","http://www.atmel.com/dyn/resources/prod_documents/7799S.pdf","Summary","http://www.atmel.com/dyn/resources/prod_documents/doc7799.pdf","Reference Manual",,,"Digi-Key","ATMEGA32U2-AU-ND",,,,
"U00018","AS1115-BSST","QSOP_24_635_8650X3900X1750_AMS","AMS","AS1115-BSST","IC DVR LED 64LED/7SEG I2C 24QSOP","08/10/11 00:00:00","http://www.austriamicrosystems.com/eng/content/download/18430/343782","Datasheet",,,,,"Digi-Key","AS1115-BSSTCT-ND",,,,
"U00004","XC3S200A-4VQG100C","QFP_100_500_16000X16000X1200_XLNX","Xilinx","XC3S200A-4VQG100C","IC FPGA SPARTAN-3A 200K 100-VQFP","02/20/11 00:00:00","http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","Datasheet","http://www.xilinx.com/support/documentation/spartan-3a.htm","Documentation Index",,,"Digi-key","122-1594-ND",,,,
"U00031","AD743JRZ-16","SOIC_16_1270_10650X7600X2650_ANALOG","AD","AD743JRZ-16","IC OPAMP BIFET 4.5MHZ LN 16SOIC","03/04/12 00:00:00","http://www.analog.com/static/imported-files/Data_Sheets/AD743.pdf","DataSheet",,,,,"Digi-Key","AD743JRZ-16-ND",,,,
"U00034","NE5534","SOIC_8_1270_4900X3900X1750","TI","NE5534D","IC OPAMP GP 10MHZ SGL LN 8SOIC","03/26/12 00:00:00","http://www.ti.com/lit/ds/symlink/ne5534a.pdf","Datasheet",,,,,"Digi-Key","296-26239-1-ND",,,,
"U00037","LM4960","QFN_28_500_5000X5000X1000_TI","TI","LM4960SQ/NOPB","IC AMP AUDIO PWR MONO AB 28LLP","07/24/12 00:00:00","http://www.ti.com/lit/ds/symlink/lm4960.pdf","Datasheet",,,,,"Mouser","926-LM4960SQ/NOPB",,,,
