SYMBOL,FOOTPRINT,VALUE,POWER,TOLERANCE,PACKAGE,TYPE,MANUFACTURER,MANUFACTURER_PART_NUMBER,DESCRIPTION,CREATED_ON,Datasheet,ComponentLink1Description,ComponentLink2URL,ComponentLink2Description,ComponentLink3URL,ComponentLink3Description,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Supplier 3,Supplier Part Number 3,PARTNUMBER
"RES","R_0402_1005M","54K9","1/16W","1%","0402","Thick Film","Stackpole Electronics","RMCF0402FT54K9","RES 54.9 K OHM 1/16W 1% 0402 SMD","07/15/15 00:00:00","http://www.seielect.com/Catalog/SEI-RMC.pdf","Series Datasheet",,,,,"Digi-key","RMCF0402FT54K9TR-ND","Digi-key","RMCF0402FT54K9CT-ND",,,"R00031"
"RES","R_0402_1005M","182K","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-07182KL","RES 182K OHM 1/16W 1% 0402 SMD","07/15/15 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","YAG3015CT-ND","Digi-key","YAG3015TR-ND",,,"R00032"
"RES","R_0402_1005M","0R","1/16W",,"0402","Thick Film","Stackpole Electronics","RMCF0402ZT0R00","RES 0.0 OHM 1/16W 0402 SMD","02/17/11 00:00:00","http://www.seielect.com/Catalog/SEI-RMC.pdf","Series Datasheet",,,,,"Digi-key","RMCF0402ZT0R00TR-ND","Digi-key","RMCF0402ZT0R00CT-ND",,,"R00001"
"RPACK_4","RPACK_8_1000X2000X450_VISHASY","22R","1/16W","5%","4x0402","Thick Film","Vishay","CRA04S08322R0JTD","RES ARRAY 22 OHM 8TRM 4RES SMD","07/24/17 00:00:00","http://www.vishay.com/docs/31043/cra04s.pdf","Series Datasheet",,,,,"Digi-key","CRA4S822CT-ND",,,,,"R00035"
"RES","R_0402_1005M","22R1","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-0722R1L","RES 22.1 OHM 1/16W 1% 0402 SMD","07/24/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-22.1LRTR-ND","Digi-key","311-22.1LRCT-ND",,,"R00036"
"RES","R_0402_1005M","4K7","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-074K7L","RES 4.7K OHM 1/16W 1% 0402 SMD","07/24/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-4.7KTR-ND","Digi-key","311-4.7KLRCT-ND",,,"R00038"
"RES","R_0402_1005M","20K","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-0720KL","RES 20K OHM 1/16W 1% 0402 SMD","07/25/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-20.0KLRTR-ND","Digi-key","311-20.0KLRCT-ND",,,"R00040"
"RES","R_0402_1005M","2K49","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-072K49L","RES 2.49K OHM 1/16W 1% 0402 SMD","08/01/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key",,"Digi-key",,,,"R00041"
"RES","R_0402_1005M","1K96","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-072K96L","RES 1.96K OHM 1/16W 1% 0402 SMD","08/01/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key",,"Digi-key",,,,"R00042"
"RES","R_0402_1005M","5K76","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-075K76L","RES 5.76K OHM 1/16W 1% 0402 SMD","08/01/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key",,"Digi-key",,,,"R00043"
"RES","R_0402_1005M","13K","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-0713KL","RES 13K OHM 1/16W 1% 0402 SMD","08/01/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key",,"Digi-key",,,,"R00044"
"RES","R_0402_1005M","6K2","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-076K2L","RES 6.2K OHM 1/16W 1% 0402 SMD","08/01/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key",,"Digi-key",,,,"R00045"
"RES","R_0603_1608M","0R","1/10W",,"0603","Thick Film","Stackpole Electronics","RMCF0603ZT0R00","RES 0.0 OHM 1/10W 0603 SMD","02/17/11 00:00:00","http://www.seielect.com/Catalog/SEI-RMC.pdf","Series Datasheet",,,,,"Digi-key","RMCF0603ZT0R00TR-ND","Digi-key","RMCF0603ZT0R00CT-ND",,,"R00002"
"RES","R_0402_1005M","1R","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-071RL","RES SMD 1 OHM 1% 1/16W 0402","08/05/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-1.00LRTR-ND","Digi-key","311-1.00LRCT-ND",,,"R00054"
"RES","R_0402_1005M","15K","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-0715KL","RES SMD 15K OHM 1% 1/16W 0402","08/05/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-15K0LRTR-ND","Digi-key","311-15K0LRCT-ND",,,"R00056"
"RES","R_0402_1005M","34K","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-0734KL","RES SMD 34K OHM 1% 1/16W 0402","08/05/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-34K0LRTR-ND","Digi-key","311-34K0LRCT-ND",,,"R00058"
"RES","R_0402_1005M","9K76","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-079K76L","RES SMD 9.76K OHM 1% 1/16W 0402","08/05/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-9K76LRTR-ND","Digi-key","311-9K76LRCT-ND",,,"R00060"
"RES","R_0805_2012M","0R","1/8W",,"0805","Thick Film","Stackpole Electronics","RMCF0805ZT0R00TR-ND","RES 0.0 OHM 1/8W 0805 SMD","02/17/11 00:00:00","http://www.seielect.com/Catalog/SEI-RMC.pdf","Series Datasheet",,,,,"Digi-key","RMCF0805ZT0R00TR-ND","Digi-key","RMCF0805ZT0R00CT-ND",,,"R00003"
"RES","R_0402_1005M","243K","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-07243KL","RES SMD 243K OHM 1% 1/16W 0402","08/26/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-243KLRTR-ND","Digi-key","311-243KLRCT-ND",,,"R00063"
"RES","R_0402_1005M","1K","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-071KL","RES SMD 1K OHM 1% 1/16W 0402","08/26/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-1.00KLRTR-ND","Digi-key","311-1.00KLRCT-ND",,,"R00066"
"RES","R_0402_1005M","4K53","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-074K53L","RES SMD 4.53K OHM 1% 1/16W 0402","08/26/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-4.53KLRTR-ND","Digi-key","311-4.53KLRCT-ND",,,"R00067"
"RES","R_0402_1005M","1K47","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-071K47L","RES SMD 1.47K OHM 1% 1/16W 0402","08/26/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","YAG3038TR-ND","Digi-key","YAG3038CT-ND",,,"R00068"
"RES","R_0402_1005M","2K21","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-072K21L","RES SMD 2.21K OHM 1% 1/16W 0402","08/26/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-2.21KLRTR-ND","Digi-key","311-2.21KLRCT-ND",,,"R00069"
"RES","R_0402_1005M","150R","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-07150RL","RES SMD 150 OHM 1% 1/16W 0402","09/10/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-150LRTR-ND","Digi-key","311-150LRCT-ND",,,"R00071"
"RES","R_0402_1005M","120R","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-07120RL","RES SMD 120 OHM 1% 1/16W 0402","09/10/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-120LRTR-ND","Digi-key","311-120LRCT-ND",,,"R00072"
"RES","R_0402_1005M","10K","1/16W","5%","0402","Thick Film","Stackpole Electronics","RMCF0402JT10K0","RES 10K OHM 1/16W 5% 0402 SMD","02/17/11 00:00:00","http://www.seielect.com/Catalog/SEI-RMC.pdf","Series Datasheet",,,,,"Digi-key","RMCF0402JT10K0TR-ND","Digi-key","RMCF0402JT10K0CT-ND",,,"R00004"
"RES","R_1206_3216M","249R","1/4W","1%","1206","Thick Film","Yageo","RC1206FR-07249RL","RES SMD249 OHM 1% 1/4W 1206","09/18/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf","Series Datasheet",,,,,"Digi-key","311-249FRCT-ND",,,,,"R00077"
"RES","R_0402_1005M","3K32","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-073K32L","RES SMD 3.32K OHM 1% 1/16W 0402","09/19/17 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-3.32KLRTR-ND","Digi-key","311-3.32KLRCT-ND",,,"R00078"
"RES","R_0603_1608M","100R","1/10W","1%","0603","Thick Film","Yageo","RC0603FR-07100RL","RES SMD 100 OHM 1% 1/10W 0603","07/15/15 00:00:00","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_2.pdf","Series Datasheet",,,,,"Digi-key","311-100HRCT-ND","Digi-key","311-100HRTR-ND",,,"R00079"
"RES_4TERM","R_LVK25_OHMITE","5L","2W","1%","LVK25","Thick Film","Ohmite","LVK25R005FER","RES .005 OHM 2W 1% 4-TERM 1224","02/17/11 00:00:00","http://www.ohmite.com/catalog/pdf/lvk.pdf","Series Datasheet",,,,,"Digi-key","LVK25R005FERTR-ND","Digi-key","LVK25R005FERCT-ND",,,"R00005"
"RES","R_0402_1005M","4K7","1/16W","5%","0402","Thick Film","Yageo","RC0402JR-074K7L","RES 4.7K OHM 1/16W 5% 0402 SMD","09/23/11 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-4.7KJRTR-ND","Digi-key","311-4.7KJRCT-ND",,,"R00012"
"RES","R_0402_1005M","100R","1/16W","5%","0402","Thick Film","Stackpole Electronics","RMCF0402JT100R","RES 100 OHM 1/16W 5% 0402 SMD","03/18/11 00:00:00","http://www.seielect.com/Catalog/SEI-RMC.pdf","Series Datasheet",,,,,"Digi-key","RMCF0402JT100TR-ND","Digi-key","RMCF0402JT100RCT-ND",,,"R00006"
"RES","R_0402_1005M","240R","1/16W","5%","0402","Thick Film","Yageo","RC0402JR-07240RL","RES 240 OHM 1/16W 5% 0402 SMD","09/23/11 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-240JRTR-ND","Digi-key","311-240JRCT-ND",,,"R00013"
"RES","R_0402_1005M","1K","1/16W","5%","0402","Thick Film","Stackpole Electronics","RMCF0402JT1K00","RES 1K OHM 1/16W 5% 0402 SMD","08/20/11 00:00:00","http://www.seielect.com/Catalog/SEI-RMC.pdf","Series Datasheet",,,,,"Digi-key","RMCF0402JT1K00TR-ND","Digi-key","RMCF0402JT1K00CT-ND",,,"R00007"
"RES","R_0402_1005M","1M","1/16W","5%","0402","Thick Film","Yageo","RC0402JR-071ML","RES 1.0M OHM 1/16W 5% 0402 SMD","08/20/11 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-1.0MJRTR-ND","Digi-key","311-1.0MJRCT-ND",,,"R00008"
"RES","R_0402_1005M","10K","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-0710KL","RES 10.0K OHM 1/16W 1% 0402 SMD","09/23/11 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-10.0KLRTR-ND","Digi-key","311-10.0KLRCT-ND",,,"R00014"
"RPACK_4","RPACK_8_1000X2000X450_VISHASY","49R9","1/16W","1%","4x0402","Thick Film","Vishay","CRA04S08349R9FTD","RES ARRAY 49.9 OHM 8TRM 4RES SMD","09/23/11 00:00:00","http://www.vishay.com/docs/31043/cra04s.pdf","Series Datasheet",,,,,"Digi-key","CRA4S849.9ACT-ND",,,,,"R00010"
"RES","R_0402_1005M","100R","1/16W","1%","0402","Thick Film","Yageo","RC0402FR-07100RL","RES 100 OHM 1/16W 1% 0402 SMD","09/23/11 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-100LRTR-ND","Digi-key","311-100LRCT-ND",,,"R00011"
"RES","R_0402_1005M","56K","1/16W","5%","0402","Thick Film","Yageo","RC0402JR-0756KL","RES 56K OHM 1/16W 5% 0402 SMD","08/21/11 00:00:00","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","Series Datasheet",,,,,"Digi-key","311-56KJRTR-ND","Digi-key","311-56KJRCT-ND",,,"R00009"
